N,N2,N3,M,All,X100
15.088,13.457,14.465,15.305,14.468,
16.533,15.59,13.97,13.722,14.576,
14.427,14.409,13.246,16.234,14.233,
15.585,13.727,16.004,13.348,14.069,
15.427,13.069,14.276,13.914,14.478,
,15.36,14.58,15.026,14.423,
,14.488,14.301,14.615,14.449,
,13.646,14.031,15.083,14.451,
,14.041,13.574,15.002,14.382,
,14.085,15.33,14.707,13.889,
,15.855,15.297,13.224,13.711,
,13.68,15.288,15.868,14.155,
,13.531,15.357,14.229,14.105,
,14.644,14.516,14.796,14.288,
,14.288,13.875,13.808,13.711,
,14.371,14.155,14.282,13.611,
,14.318,14.717,14.028,14.312,
,14.4,15.162,13.917,14.234,
,13.604,14.391,14.493,13.939,
,14.472,15.518,13.784,14.04,
,14.686,15.708,14.313,13.76,
,13.894,16.198,14.001,14.275,
,14.961,15.041,14.228,13.963,
,13.994,13.117,13.468,14.149,
,14.397,14.308,13.863,14.232,
,13.933,13.951,14.864,14.483,
,15.873,14.261,15.277,14.208,
,14.199,13.408,16.273,14.57,
,14.884,13.794,15.031,14.17,
,14.428,13.536,13.199,13.99,
,15.845,15.097,14.766,14.244,
,13.528,15.163,13.491,13.993,
,14.976,13.366,16.109,14.61,
,16.269,14.298,14.251,14.223,
,13.591,14.367,15.861,14.342,
,15.663,14.339,13.536,14.34,
,14.323,13.523,15.418,14.342,
,15.18,14.616,14.242,14.034,
,13.459,14.966,14.151,14.498,
,15.998,14.32,15.345,14.529,
,15.257,15.49,15.384,14.431,
,13.293,15.218,15.246,14.519,
,13.886,13.857,15.701,14.462,
,15.088,15.234,13.623,14.579,
,13.523,13.597,14.477,14.415,
,15.493,14.312,13.291,14.293,
,16.071,14.355,15.789,14.259,
,15.56,14.756,14.111,14.108,
,13.657,13.511,14.054,14.6,
,15.701,15.549,15.512,14.661,
,14.611,13.632,14.142,14.74,
,13.812,14.467,14.735,14.403,
,14.215,14.381,13.209,14.039,
,14.764,13.703,14.975,14.225,
,14.978,14.921,14.23,13.888,
,14.208,15.703,15.284,14.785,
,14.914,14.612,15.841,14.35,
,13.324,14.454,13.506,14.469,
,14.923,13.875,13.387,13.854,
,15.434,13.316,12.823,14.295,
,14.355,16.453,14.208,14.464,
,15.136,15.128,14.261,14.718,
,15.265,15.006,14.664,14.435,
,13.591,14.422,14.088,14.124,
,14.331,13.52,14.779,14.528,
,14.162,14.752,14.423,14.324,
,15.305,13.938,13.511,13.969,
,14.101,15.317,14.184,14.56,
,13.493,15.93,13.462,14.493,
,15.48,14.011,14.764,14.418,
,14.305,14.851,14.342,14.493,
,14.161,15.18,14.865,14.702,
,13.159,15.336,15.252,14.821,
,13.094,14.12,14.644,14.301,
,14.458,14.203,13.416,14.114,
,16.296,13.848,15.371,14.11,
,14.489,13.596,15.508,13.685,
,13.844,13.682,15.217,14.639,
,13.532,14.187,14.835,14.868,
,14.526,15.211,13.731,14.488,
,13.238,14.245,15.585,14.485,
,15.357,13.613,14.306,14.318,
,14.533,13.171,15.006,14.79,
,13.904,14.028,13.567,14.325,
,15.188,13.723,15.033,14.526,
,14.802,14.26,14.883,13.8,
,15.092,14.542,13.952,14.297,
,16.127,15.25,14.437,14.103,
,15.708,14.446,16.182,14.161,
,13.71,14.951,14.052,14.3,
,13.071,14.62,15.468,14.536,
,14.376,15.638,14.643,14.637,
,15.816,15.104,15.381,14.379,
,15.293,13.939,13.989,14.698,
,15.3,13.531,14.338,13.703,
,14.184,15.473,14.595,13.986,
,16.159,15.063,13.935,14.239,
,15.463,16.009,14.022,14.671,
,15.054,13.96,13.409,14.255,
,13.8,14.903,14.749,14.434,
,13.018,16.258,14.559,14.15,
,13.82,14.406,13.906,14.341,
,15.213,15.518,14.955,14.716,
,15.57,14.924,13.948,14.257,
,16.223,14.502,14.509,13.926,
,15.44,15.114,14.532,14.153,
,13.81,14.514,14.409,14.379,
,15.483,14.921,14.209,14.183,
,14.674,14.108,13.247,14.514,
,14.154,14.426,14.265,13.922,
,15.663,13.65,13.276,14.471,
,15.937,13.811,13.93,13.926,
,15.094,13.553,14.975,14.111,
,13.344,14.041,13.518,14.094,
,14.319,15.96,13.946,14.507,
,14.515,13.185,14.45,14.209,
,14.338,13.903,13.797,14.193,
,13.883,14.508,13.849,14.232,
,14.119,13.335,15.181,14.085,
,14.192,14.718,13.552,14.364,
,14.321,14.341,14.443,14.213,
,14.171,16.059,14.629,14.383,
,13.764,14.177,14.912,14.749,
,14.483,13.075,14.757,14.338,
,13.63,13.808,15.853,14.46,
,14.84,14.466,15.109,14.58,
,14.028,14.995,15.33,14.627,
,16.184,15.397,14.88,14.496,
,14.184,13.567,14.469,14.419,
,13.888,14.877,13.445,14.893,
,14.375,14.564,13.837,14.189,
,13.97,14.52,13.319,14.341,
,16.206,14.149,15.458,14.616,
,14.281,14.306,15.295,14.566,
,14.547,16.296,13.993,14.584,
,14.612,15.12,14.636,14.378,
,15.305,13.482,15.749,14.55,
,15.799,14.132,14.122,14.464,
,14.777,14.177,13.547,14.292,
,14.335,14.474,14.015,14.561,
,16.198,13.937,13.965,14.552,
,14.006,14.731,15.475,14.136,
,16.093,15.234,15.588,14.208,
,13.804,14.122,15.983,14.439,
,13.424,13.238,14.169,14.581,
,15.421,14.649,13.699,14.495,
,13.805,14.855,15.072,14.436,
,13.772,15.211,14.571,14.44,
,15.098,13.917,14.418,14.343,
,14.325,15.59,13.614,14.549,
,14.893,14.402,14.389,14.585,
,15.425,15.313,15.299,14.267,
,15.191,14.032,15.054,14.382,
,14.009,15.344,13.799,14.335,
,13.23,15.008,13.736,14.475,
,14.405,13.596,13.506,14.067,
,15.316,14.785,14.178,14.162,
,13.773,14.493,13.754,14.185,
,14.097,15.22,13.644,14.373,
,15.179,15.349,14.355,14.78,
,15.005,15.63,15.104,14.636,
,15.988,14.75,14.412,14.143,
,15.397,14.239,13.835,14.311,
,14.324,13.449,14.649,14.747,
,13.866,14.475,14.257,14.175,
,14.755,14.39,14.616,14.063,
,13.889,14.383,14.043,14.808,
,13.158,15.088,15.639,14.154,
,14.95,15.018,14.119,14.745,
,14.407,14.297,14.744,14.764,
,14.011,13.803,13.878,14.508,
,14.686,13.938,14.832,14.527,
,14.921,15.234,15.947,14.705,
,13.611,13.543,13.835,14.015,
,13.85,13.962,14.088,14.508,
,15.78,14.239,14.813,14.382,
,15.938,16.014,14.649,14.584,
,13.959,14.353,14.419,13.426,
,13.079,13.427,13.226,14.902,
,14.141,13.953,13.782,15.009,
,14.585,14.542,14.335,14.39,
,14.512,14.486,14.3,14.447,
,13.351,13.978,14.528,14.73,
,14.139,13.369,14.151,14.334,
,14.838,14.979,13.731,14.142,
,14.459,13.893,15.621,14.347,
,13.731,15.749,14.5,14.409,
,14.47,15.268,15.816,14.198,
,14.929,14.763,15.626,14.015,
,15.116,13.992,14.153,14.515,
,15.269,13.275,14.64,14.62,
,14.749,16.233,13.883,14.694,
,15.336,14.414,14.303,14.398,
,15.097,15.138,15.207,14.607,
,13.034,13.587,15.558,14.471,
,14.292,15.911,13.41,14.829,
,13.995,13.524,15.236,14.84,
,13.097,14.85,15.768,14.38,
,14.002,13.159,14.573,14.22,
,14.242,13.614,13.627,14.513,
,,15.542,15.057,14.582,
,,14.816,13.847,14.769,
,,14.699,13.894,14.76,
,,14.041,13.23,14.936,
,,14.755,14.033,14.218,
,,13.562,15.755,14.675,
,,15.273,15.518,14.777,
,,14.442,14.877,14.424,
,,14.001,14.553,14.463,
,,14.715,13.588,14.703,
,,13.894,13.915,14.926,
,,13.771,14.409,14.676,
,,15.339,14.451,14.123,
,,14.728,15.108,14.615,
,,15.531,14.158,14.636,
,,15.107,13.972,14.474,
,,14.169,14.689,14.755,
,,14.68,14.889,14.393,
,,13.881,14.667,14.579,
,,15.206,13.368,14.332,
,,15.251,14.176,14.602,
,,13.797,15.256,14.455,
,,14.458,14.824,14.738,
,,14.437,14.849,14.037,
,,14.915,15.047,14.052,
,,14.434,14.095,14.459,
,,12.823,14.055,14.706,
,,13.877,16.241,14.422,
,,14.616,13.37,13.923,
,,13.946,13.945,14.121,
,,14.981,14.337,14.466,
,,14.454,13.068,14.299,
,,14.839,14.639,14.018,
,,15.43,15.88,14.241,
,,15.441,13.478,14.403,
,,13.682,14.123,14.053,
,,14.617,14.717,13.942,
,,14.705,14.062,14.381,
,,14.61,13.325,14.266,
,,13.767,14.218,13.506,
,,16.101,14.518,14.147,
,,15.337,15.105,14.216,
,,14.178,15.1,14.155,
,,15.945,14.576,14.37,
,,14.851,13.933,13.591,
,,14.892,14.37,13.757,
,,14.619,15.765,13.783,
,,14.645,16.168,14.184,
,,14.459,14.514,14.263,
,,14.702,15.421,14.548,
,,13.878,14.633,13.991,
,,14.067,14.35,13.794,
,,14.308,13.578,14.13,
,,13.436,14.056,14.463,
,,14.477,13.674,14.398,
,,14.601,15.991,13.879,
,,15.417,14.018,14.124,
