hw_cpu_arch,hw_cpu_mhz,hw_num_cpus,hw_page_sz,hw_ram_sz,check,preset,extreme,sparse,PERF
i686,1495,1,4096,773036,crc64,PRESET3,1,1,160.90
i686,1495,1,4096,773036,crc64,PRESET3,1,0,160.688
i686,1495,1,4096,773036,crc64,PRESET3,0,1,48.054
i686,1495,1,4096,773036,crc64,PRESET3,0,0,46.402
i686,1495,1,4096,773036,crc64,PRESET4,1,1,174.438
i686,1495,1,4096,773036,crc64,PRESET4,1,0,173.708
i686,1495,1,4096,773036,crc64,PRESET4,0,1,58.774
i686,1495,1,4096,773036,crc64,PRESET4,0,0,58.88
x86_64,2411,16,4096,32965280,none,PRESET0,1,1,42.222
x86_64,2411,16,4096,32965280,none,PRESET0,1,0,42.12
x86_64,2411,16,4096,32965280,none,PRESET2,0,1,8.65
x86_64,2411,16,4096,32965280,crc64,PRESET5,1,1,53.64
x86_64,2411,16,4096,32965280,crc64,PRESET5,1,0,53.736
x86_64,2411,16,4096,32965280,crc64,PRESET5,0,1,22.388
x86_64,2411,16,4096,32965280,crc64,PRESET5,0,0,22.472
x86_64,2411,16,4096,32965280,crc64,PRESET6,1,1,57.546
x86_64,2411,16,4096,32965280,crc64,PRESET6,1,0,57.616
x86_64,2411,16,4096,32965280,crc64,PRESET6,0,1,28.408
x86_64,2411,16,4096,32965280,crc64,PRESET6,0,0,28.496
x86_64,2411,16,4096,32965280,crc64,PRESET7,1,1,58.96
x86_64,2411,16,4096,32965280,crc64,PRESET7,1,0,59.006
x86_64,2411,16,4096,32965280,none,PRESET2,0,0,8.522
x86_64,2411,16,4096,32965280,crc64,PRESET7,0,1,28.894
x86_64,2411,16,4096,32965280,crc64,PRESET7,0,0,28.878
x86_64,2411,16,4096,32965280,crc64,PRESET8,1,1,59.45
x86_64,2411,16,4096,32965280,crc64,PRESET8,1,0,59.442
x86_64,2411,16,4096,32965280,crc64,PRESET8,0,1,29.18
x86_64,2411,16,4096,32965280,crc64,PRESET8,0,0,29.16
x86_64,2411,16,4096,32965280,crc64,PRESET9,1,1,60.044
x86_64,2411,16,4096,32965280,crc64,PRESET9,1,0,59.852
x86_64,2411,16,4096,32965280,crc64,PRESET9,0,1,29.354
x86_64,2411,16,4096,32965280,crc64,PRESET9,0,0,29.368
x86_64,2411,16,4096,32965280,none,PRESET3,1,1,51.568
x86_64,2411,16,4096,32965280,sha256,PRESET0,1,1,42.602
x86_64,2411,16,4096,32965280,sha256,PRESET0,1,0,42.662
x86_64,2411,16,4096,32965280,sha256,PRESET0,0,1,4.966
x86_64,2411,16,4096,32965280,sha256,PRESET0,0,0,4.97
x86_64,2411,16,4096,32965280,sha256,PRESET1,1,1,49.11
x86_64,2411,16,4096,32965280,sha256,PRESET1,1,0,48.99
x86_64,2411,16,4096,32965280,sha256,PRESET1,0,1,6.508
x86_64,2411,16,4096,32965280,sha256,PRESET1,0,0,6.51
x86_64,2411,16,4096,32965280,sha256,PRESET2,1,1,52.752
x86_64,2411,16,4096,32965280,sha256,PRESET2,1,0,52.706
x86_64,2411,16,4096,32965280,none,PRESET3,1,0,50.76
x86_64,2411,16,4096,32965280,sha256,PRESET2,0,1,9.05
x86_64,2411,16,4096,32965280,sha256,PRESET2,0,0,9.07
x86_64,2411,16,4096,32965280,sha256,PRESET3,1,1,52.148
x86_64,2411,16,4096,32965280,sha256,PRESET3,1,0,52.16
x86_64,2411,16,4096,32965280,sha256,PRESET3,0,1,11.666
