worker_id,hw_cpu_arch,hw_cpu_mhz,hw_num_cpus,hw_page_sz,hw_ram_sz,check,preset,extreme,sparse,size,time
81,x86_64,2411,16,4096,32965280,sha256,-8,,#NAME?,12100,29.29
81,x86_64,2411,16,4096,32965280,sha256,-8,,,12100,29.24
81,x86_64,2411,16,4096,32965280,sha256,-9,#NAME?,#NAME?,11964,59.84
81,x86_64,2411,16,4096,32965280,sha256,-9,#NAME?,,11964,60.03
81,x86_64,2411,16,4096,32965280,sha256,-9,,#NAME?,12100,29.52
81,x86_64,2411,16,4096,32965280,sha256,-9,,,12100,29.56
81,x86_64,2411,16,4096,32965280,none,-4,#NAME?,#NAME?,11988,54.63
81,x86_64,2411,16,4096,32965280,none,-4,#NAME?,,11988,54.54
81,x86_64,2411,16,4096,32965280,none,-4,,#NAME?,12544,17.34
81,x86_64,2411,16,4096,32965280,none,-4,,,12544,17.36
81,x86_64,2411,16,4096,32965280,none,0,,#NAME?,13808,4.44
81,x86_64,2411,16,4096,32965280,none,-5,#NAME?,#NAME?,11980,52.1
81,x86_64,2411,16,4096,32965280,none,-5,#NAME?,,11980,52.21
81,x86_64,2411,16,4096,32965280,none,-5,,#NAME?,12240,21.19
81,x86_64,2411,16,4096,32965280,none,-5,,,12240,21.19
81,x86_64,2411,16,4096,32965280,none,-6,#NAME?,#NAME?,11976,56.07
81,x86_64,2411,16,4096,32965280,none,-6,#NAME?,,11976,55.77
81,x86_64,2411,16,4096,32965280,none,-6,,#NAME?,12108,27.23
81,x86_64,2411,16,4096,32965280,none,-6,,,12108,27.24
81,x86_64,2411,16,4096,32965280,none,-7,#NAME?,#NAME?,11968,58.31
81,x86_64,2411,16,4096,32965280,none,-7,#NAME?,,11968,58.48
81,x86_64,2411,16,4096,32965280,none,0,,,13808,4.46
81,x86_64,2411,16,4096,32965280,none,-7,,#NAME?,12104,28.35
81,x86_64,2411,16,4096,32965280,none,-7,,,12104,28.37
81,x86_64,2411,16,4096,32965280,none,-8,#NAME?,#NAME?,11964,59.05
81,x86_64,2411,16,4096,32965280,none,-8,#NAME?,,11964,58.88
81,x86_64,2411,16,4096,32965280,none,-8,,#NAME?,12100,28.73
81,x86_64,2411,16,4096,32965280,none,-8,,,12100,28.7
81,x86_64,2411,16,4096,32965280,none,-9,#NAME?,#NAME?,11964,59.13
81,x86_64,2411,16,4096,32965280,none,-9,#NAME?,,11964,59.19
81,x86_64,2411,16,4096,32965280,none,-9,,#NAME?,12100,29.06
81,x86_64,2411,16,4096,32965280,none,-9,,,12100,29.03
81,x86_64,2411,16,4096,32965280,none,-1,#NAME?,#NAME?,12108,48.61
81,x86_64,2411,16,4096,32965280,crc32,0,#NAME?,#NAME?,12344,42.32
81,x86_64,2411,16,4096,32965280,crc32,0,#NAME?,,12344,42.28
81,x86_64,2411,16,4096,32965280,crc32,0,,#NAME?,13808,4.49
81,x86_64,2411,16,4096,32965280,crc32,0,,,13808,4.47
81,x86_64,2411,16,4096,32965280,crc32,-1,#NAME?,#NAME?,12108,48.62
81,x86_64,2411,16,4096,32965280,crc32,-1,#NAME?,,12108,48.52
81,x86_64,2411,16,4096,32965280,crc32,-1,,#NAME?,13316,5.98
81,x86_64,2411,16,4096,32965280,crc32,-1,,,13316,5.97
81,x86_64,2411,16,4096,32965280,crc32,-2,#NAME?,#NAME?,12036,51.92
81,x86_64,2411,16,4096,32965280,crc32,-2,#NAME?,,12036,51.82
81,x86_64,2411,16,4096,32965280,none,-1,#NAME?,,12108,48.61
81,x86_64,2411,16,4096,32965280,crc32,-2,,#NAME?,13128,8.42
81,x86_64,2411,16,4096,32965280,crc32,-2,,,13128,8.44
81,x86_64,2411,16,4096,32965280,crc32,-3,#NAME?,#NAME?,11992,51.17
81,x86_64,2411,16,4096,32965280,crc32,-3,#NAME?,,11992,51.23
81,x86_64,2411,16,4096,32965280,crc32,-3,,#NAME?,13032,11.17
81,x86_64,2411,16,4096,32965280,crc32,-3,,,13032,11.14
81,x86_64,2411,16,4096,32965280,crc32,-4,#NAME?,#NAME?,11988,54.61
81,x86_64,2411,16,4096,32965280,crc32,-4,#NAME?,,11988,54.61
81,x86_64,2411,16,4096,32965280,crc32,-4,,#NAME?,12544,17.36
81,x86_64,2411,16,4096,32965280,crc32,-4,,,12544,17.35
81,x86_64,2411,16,4096,32965280,none,-1,,#NAME?,13316,5.93
81,x86_64,2411,16,4096,32965280,crc32,-5,#NAME?,#NAME?,11980,53.19
81,x86_64,2411,16,4096,32965280,crc32,-5,#NAME?,,11980,53.44
81,x86_64,2411,16,4096,32965280,crc32,-5,,#NAME?,12240,21.93
81,x86_64,2411,16,4096,32965280,crc32,-5,,,12240,21.95
81,x86_64,2411,16,4096,32965280,crc32,-6,#NAME?,#NAME?,11976,56.94
81,x86_64,2411,16,4096,32965280,crc32,-6,#NAME?,,11976,56.86
81,x86_64,2411,16,4096,32965280,crc32,-6,,#NAME?,12108,28.01
81,x86_64,2411,16,4096,32965280,crc32,-6,,,12108,28.16
81,x86_64,2411,16,4096,32965280,crc32,-7,#NAME?,#NAME?,11968,58.5
81,x86_64,2411,16,4096,32965280,crc32,-7,#NAME?,,11968,58.34
81,x86_64,2411,16,4096,32965280,none,-1,,,13316,5.94
81,x86_64,2411,16,4096,32965280,crc32,-7,,#NAME?,12104,28.45
81,x86_64,2411,16,4096,32965280,crc32,-7,,,12104,28.45
81,x86_64,2411,16,4096,32965280,crc32,-8,#NAME?,#NAME?,11964,58.81
81,x86_64,2411,16,4096,32965280,crc32,-8,#NAME?,,11964,58.79
81,x86_64,2411,16,4096,32965280,crc32,-8,,#NAME?,12100,28.78
81,x86_64,2411,16,4096,32965280,crc32,-8,,,12100,28.73
81,x86_64,2411,16,4096,32965280,crc32,-9,#NAME?,#NAME?,11964,59.3
81,x86_64,2411,16,4096,32965280,crc32,-9,#NAME?,,11964,59.24
81,x86_64,2411,16,4096,32965280,crc32,-9,,#NAME?,12100,29.03
81,x86_64,2411,16,4096,32965280,crc32,-9,,,12100,29.05
81,x86_64,2411,16,4096,32965280,none,-2,#NAME?,#NAME?,12036,51.89
81,x86_64,2411,16,4096,32965280,crc64,0,#NAME?,#NAME?,12344,42.19
81,x86_64,2411,16,4096,32965280,crc64,0,#NAME?,,12344,42
81,x86_64,2411,16,4096,32965280,crc64,0,,#NAME?,13808,4.49
81,x86_64,2411,16,4096,32965280,crc64,0,,,13808,4.51
81,x86_64,2411,16,4096,32965280,crc64,-1,#NAME?,#NAME?,12108,48.65
81,x86_64,2411,16,4096,32965280,crc64,-1,#NAME?,,12108,48.49
81,x86_64,2411,16,4096,32965280,crc64,-1,,#NAME?,13316,6.01
81,x86_64,2411,16,4096,32965280,crc64,-1,,,13316,6.01
81,x86_64,2411,16,4096,32965280,crc64,-2,#NAME?,#NAME?,12036,52.03
81,x86_64,2411,16,4096,32965280,crc64,-2,#NAME?,,12036,51.83
81,x86_64,2411,16,4096,32965280,none,-2,#NAME?,,12036,52.05
81,x86_64,2411,16,4096,32965280,crc64,-2,,#NAME?,13128,8.46
81,x86_64,2411,16,4096,32965280,crc64,-2,,,13128,8.47
81,x86_64,2411,16,4096,32965280,crc64,-3,#NAME?,#NAME?,11992,51.45
81,x86_64,2411,16,4096,32965280,crc64,-3,#NAME?,,11992,51.23
81,x86_64,2411,16,4096,32965280,crc64,-3,,#NAME?,13032,11.15
81,x86_64,2411,16,4096,32965280,crc64,-3,,,13032,11.27
81,x86_64,2411,16,4096,32965280,crc64,-4,#NAME?,#NAME?,11988,54.51
81,x86_64,2411,16,4096,32965280,crc64,-4,#NAME?,,11988,54.55
81,x86_64,2411,16,4096,32965280,crc64,-4,,#NAME?,12544,17.43
81,x86_64,2411,16,4096,32965280,crc64,-4,,,12544,17.4
78,i686,1495,1,4096,773036,none,0,#NAME?,#NAME?,12344,132.7
78,i686,1495,1,4096,773036,none,0,#NAME?,,12344,131.7
78,i686,1495,1,4096,773036,none,-2,,#NAME?,13128,34.31
78,i686,1495,1,4096,773036,crc64,-5,#NAME?,#NAME?,11972,168.42
78,i686,1495,1,4096,773036,crc64,-5,#NAME?,,11972,172.99
78,i686,1495,1,4096,773036,crc64,-5,,#NAME?,12240,73.3
78,i686,1495,1,4096,773036,crc64,-5,,,12240,71.64
78,i686,1495,1,4096,773036,crc64,-6,#NAME?,#NAME?,11972,187.14
78,i686,1495,1,4096,773036,crc64,-6,#NAME?,,11972,186.39
78,i686,1495,1,4096,773036,crc64,-6,,#NAME?,12104,92.94
78,i686,1495,1,4096,773036,crc64,-6,,,12104,90.41
78,i686,1495,1,4096,773036,crc64,-7,#NAME?,#NAME?,11964,193.6
78,i686,1495,1,4096,773036,crc64,-7,#NAME?,,11964,195.36
78,i686,1495,1,4096,773036,none,-2,,,13128,34.44
78,i686,1495,1,4096,773036,crc64,-7,,#NAME?,12100,93.04
78,i686,1495,1,4096,773036,crc64,-7,,,12100,93.21
78,i686,1495,1,4096,773036,crc64,-8,#NAME?,#NAME?,11964,195.99
78,i686,1495,1,4096,773036,crc64,-8,#NAME?,,11964,196.29
78,i686,1495,1,4096,773036,crc64,-8,,#NAME?,12100,94.83
78,i686,1495,1,4096,773036,crc64,-8,,,12100,95.14
78,i686,1495,1,4096,773036,crc64,-9,#NAME?,#NAME?,11964,197.66
78,i686,1495,1,4096,773036,crc64,-9,#NAME?,,11964,198.51
78,i686,1495,1,4096,773036,crc64,-9,,#NAME?,12100,96.64
78,i686,1495,1,4096,773036,crc64,-9,,,12100,96.06
78,i686,1495,1,4096,773036,none,-3,#NAME?,#NAME?,11992,159.67
78,i686,1495,1,4096,773036,sha256,0,#NAME?,#NAME?,12344,133.72
78,i686,1495,1,4096,773036,sha256,0,#NAME?,,12344,138.67
78,i686,1495,1,4096,773036,sha256,0,,#NAME?,13808,22.29
78,i686,1495,1,4096,773036,sha256,0,,,13808,24.09
78,i686,1495,1,4096,773036,sha256,-1,#NAME?,#NAME?,12108,156.11
78,i686,1495,1,4096,773036,sha256,-1,#NAME?,,12108,155.06
78,i686,1495,1,4096,773036,sha256,-1,,#NAME?,13316,28.3
78,i686,1495,1,4096,773036,sha256,-1,,,13316,28.23
78,i686,1495,1,4096,773036,sha256,-2,#NAME?,#NAME?,12032,163.18
78,i686,1495,1,4096,773036,sha256,-2,#NAME?,,12032,164.14
78,i686,1495,1,4096,773036,none,-3,#NAME?,,11992,160.51
78,i686,1495,1,4096,773036,sha256,-2,,#NAME?,13128,36.25
78,i686,1495,1,4096,773036,sha256,-2,,,13128,36.32
78,i686,1495,1,4096,773036,sha256,-3,#NAME?,#NAME?,11992,162.84
78,i686,1495,1,4096,773036,sha256,-3,#NAME?,,11992,161.8
78,i686,1495,1,4096,773036,sha256,-3,,#NAME?,13036,47.72
78,i686,1495,1,4096,773036,sha256,-3,,,13036,47.78
78,i686,1495,1,4096,773036,sha256,-4,#NAME?,#NAME?,11988,175.07
78,i686,1495,1,4096,773036,sha256,-4,#NAME?,,11988,174.79
78,i686,1495,1,4096,773036,sha256,-4,,#NAME?,12548,59.78
